word,tran,type,frq,exchange
gaffe,n. （社交上令人不快的）失言，失态,8,20412,s:gaffes
gag,n. 恶作剧，开玩笑,8,12667,s:gags/p:gagged/i:gagging/d:gagged/3:gags
gaggle,n. 鹅群,8,19064,s:gaggles/i:gaggling/p:gaggled/3:gaggles/d:gaggled
gaiety,n. 欢乐，快活,8,14033,s:gaieties
gaily,"adv. 华丽地, 欢乐地",0,10017,
gain,vt.获得；增加 n.增进,3,1586,d:gained/s:gains/p:gained/i:gaining/3:gains
gainer,"n. 获得者, 得利者, 胜利者\n[经] 获利者",0,24402,s:gainers
gainful,"a. 有利益的,唯利是图的",7,21743,
gainsay,"vt. 否定,反驳",7,23191,i:gainsaying/d:gainsaid/3:gainsays/p:gainsaid
gait,n. 步法，步态,8,13055,s:gaits
gal,"[化] 伽(重力加速度单位,等于1厘米/秒,2)",9,11895,s:gals
gala,"n. 节日, 祝贺",9,7974,s:galas
galactic,"a. 乳汁的, 银河的, 极大的",9,13956,
galaxy,n. 1. 星系  2. (cap)银河系 3. 一群(杰出或著名的人物),5,6523,s:galaxies
gale,"n. 狂风,大风,定期租金",3,7447,s:gales
Galilean,"a. 加利利的, 伽利略的",0,25174,s:galileans
gall,n. 胆汁；怨恨,8,4536,s:galls/p:galled/d:galled/3:galls/i:galling
gallant,"a. 英勇的,壮丽的,华丽的",7,10390,s:gallants
gallantly,"adv. 漂亮地, 勇敢地, 献殷勤地",0,19780,
gallantry,"n. 华丽, 豪勇, 勇敢行为",0,16065,s:gallantries
gallbladder,n. 胆囊\n[医] 胆囊,0,23435,
galleon,n. 大帆船,0,18171,s:galleons
gallery,n.长廊，游廊；画廊,3,1867,s:galleries
galley,n. 船上的厨房,8,10507,s:galleys
gallic,"a. 瘿的, 镓的",0,14493,
galling,"a. 擦伤人的, 擦痛人的, 使烦恼的, 使焦躁的, 难堪的\n[机] 擦伤",0,17623,i:galling/0:galling/1:i
gallium,n. 镓\n[化] 镓,0,18548,
gallon,n.加仑,3,8161,s:gallons
gallop,v. (马)飞奔; 疾驰,6,10178,p:galloped/i:galloping/s:gallops/3:gallops/d:galloped
galloping,[计] 跃步地\n[化] 驰振,0,11401,0:gallop/1:i/i:galloping
gallows,n. 绞刑架，绞台,8,16007,0:gallows/s:gallows
gallstone,n. 胆结石\n[医] 胆石,0,26542,s:gallstones
galore,"adv. 丰富地\nn. 丰富, 大量",9,14166,
galosh,n. 橡胶套鞋,0,24558,s:galoshes
galvanize,v. 电镀；通电；激励,8,22843,p:galvanized/d:galvanized/i:galvanizing/3:galvanizes
galvanized,v. 用锌镀（铁）( galvanize的过去式和过去分词 ); 激起某人行动起来,9,18549,0:galvanize/1:pd/d:galvanized
gambit,"n. 以取得优势的开局棋法, 开场白, 话题",9,17403,s:gambits
gamble,v. 赌博，打赌 n. 赌博，投机，冒险,5,7053,p:gambled/i:gambling/s:gambles/d:gambled/3:gambles
gambler,"n. 赌博者, 赌徒, 投机商人",9,14398,s:gamblers
gambling,n. 赌博,9,7591,0:gamble/1:i/i:gambling
gambol,n./v. 雀跃，嬉戏,8,24403,i:gambolling/p:gambolled/3:gambols/s:gambols/d:gambolled
game,n.游戏；比赛；猎物,1,588,s:games/i:gaming/p:gamed/3:games/d:gamed
gamely,"adv. 不屈地, 勇敢地",0,19168,
gamer,"n. 玩家, 博弈者",0,26543,s:gamers
gamesmanship,n. 搅乱战术,0,23560,
gametophyte,n. 配子体\n[医] 配子体,0,26544,
gaming,"n. 赌博, 赌赛",9,14609,1:i/0:game
gamma,"n. 希腊语的第三个字母(Γ,γ)",9,7625,s:gammas
gamut,n. 全音阶；（一领域的）全部知识,8,15618,
gander,n. 雄鹅；笨人；v. 闲逛,8,26545,s:ganders
gang,n.一帮，一伙,4,3731,s:gangs/i:ganging/p:ganged/d:ganged/3:gangs
gangbanger,n. 青少年犯罪团伙成员,0,26546,
gangbuster,[法] 取缔流氓组织的执法人员,0,26547,s:gangbusters
gangling,a. 瘦长得难看的,8,19567,
ganglion,"n. 神经节, 腱鞘囊肿\n[医] 神经节, 腱鞘囊肿",0,13564,s:ganglia
gangly,a. 身材瘦长的,8,21972,
gangplank,"n. 跳板, 踏板",0,19169,s:gangplanks
gangrene,n. 坏疽,8,18718,i:gangrening/p:gangrened/3:gangrenes/d:gangrened
gangsta,n. 冈斯特说唱乐（歌词常涉及犯罪和暴力）,0,26548,
gangster,"n. 流氓, 歹徒\n[法] 暴徒, 恶棍, 打手",9,13442,s:gangsters
gangway,n. （上下船的）跳板,8,15391,s:gangways/p:gangwayed
gantry,"n. 桶架, 龙门起重架, (跨轨)信号架, (起重架的)构台/门架, 导弹拖车",0,17041,s:gantries
gaol,"n. 监禁, 监狱\nvt. 监禁",6,10263,s:gaols/d:gaoled/p:gaoled/i:gaoling/3:gaols/f:gaols
gap,n.缺口；间隔；差距,4,2185,s:gaps/i:gapping/p:gapped/3:gaps/d:gapped/f:gaps
gape,v. 裂开；目瞪口呆地凝视,8,17840,p:gaped/i:gaping/3:gapes/s:gapes/d:gaped
gaping,"a. 豁开的, 裂开的",9,10033,i:gaping/0:gaping/1:i
garage,n.车库；加油站,3,3205,s:garages/i:garaging/d:garaged/p:garaged/3:garages
garb,"n. 打扮,装束 vt. 打扮,穿衣",7,16066,d:garbed/p:garbed/i:garbing/3:garbs
garbage,n.垃圾，污物，废料,3,9768,
garbanzo,n. [植]鹰嘴豆,0,26549,
garble,v. 曲解，窜改,8,24559,d:garbled/i:garbling/p:garbled/3:garbles
garbled,a. 引起误解的；窜改的,8,18459,0:garble/d:garbled/i:garbling/3:garbles/p:garbled
garden,n.花园，菜园；公园,2,794,s:gardens/i:gardening/p:gardened/3:gardens/d:gardened
gardener,n.园丁，花匠,4,5769,s:gardeners
gardenia,n. 栀子花,8,21744,s:gardenias
gardening,n. 园艺(学),3,5015,0:garden/i:gardening/3:gardens/s:gardens
gargantuan,a. 巨大的，庞大的,8,18172,
gargle,vt. 漱\nvi. 漱口\nn. 漱口药,0,22197,p:gargled/i:gargling/3:gargles/d:gargled
gargoyle,n. （雕刻成怪兽状的）滴水嘴；面貌丑恶的人,8,19877,s:gargoyles/p:gargoyled
garish,a. 俗丽的，过于艳丽的,8,14086,
garland,n. （作为胜利标志的）花环，奖品,8,9139,s:garlands/d:garlanded/i:garlanding/p:garlanded/3:garlands
garlic,n. 大蒜\n[化] 大蒜,3,5598,
garlicky,a. 有大蒜气味的,0,26550,
garment,n. 1. (一件)衣服(指长袍，外套)  2. (pl)服装，衣着 3. 外衣,3,6260,s:garments/i:garmenting/p:garmented/3:garments/d:garmented
garner,"n. 谷仓,积蓄 vt. 储存,贮藏",7,12668,p:garnered/d:garnered/i:garnering/3:garners
garnet,"n. 石榴石, 深红色\n[化] 石榴子石; 石榴石; 子牙乌(石榴子石类矿物宝石的工艺名称)",0,16531,s:garnets
garnish,"n. 装饰,装饰品 vt. 装饰",7,11451,p:garnished/d:garnished/i:garnishing/s:garnishes/3:garnishes
garret,n. 阁楼，顶楼小室,8,16604,s:garrets
garrison,"n. 守备队, 驻军, 要塞 vt. 守备, 派兵驻守",9,7260,s:garrisons/d:garrisoned/p:garrisoned/i:garrisoning/3:garrisons
garrulity,n. 唠叨，饶舌,8,24560,
garrulous,a. 唠叨的，多话的,8,20092,
garter,"n. 袜带\nvt. 用袜带系紧, 授嘉德勋位",0,12669,s:garters/i:gartering/p:gartered/3:garters/d:gartered
gas,n.煤气；气体；汽油,3,1106,s:gases/i:gassing/p:gassed/3:gasses/d:gassed
gaseous,a.气体的，气态的,4,14610,
gash,"n. 砍得很深的伤口,很深的裂缝 vt. vi. (使)负深伤,划开,砍入很深",7,13995,s:gashes/d:gashed/p:gashed/i:gashing/3:gashes
gasification,n. 气化,8,20093,
gasket,"n. 衬垫, 垫圈, 束帆索\n[化] 垫圈; 垫片; 密封衬垫; 密封填料",0,18550,s:gaskets
gaslight,"n. 煤气灯光, 煤气灯",0,22089,s:gaslights
gasoline,n.(美)汽油,4,17556,
gasp,vi.气喘，喘息,4,8311,p:gasped/i:gasping/s:gasps/3:gasps/d:gasped
gastric,a. 胃的，胃部的,8,3112,
gastritis,n. 胃炎,8,9072,
gastroenteritis,n. 肠胃炎\n[医] 胃肠炎,0,20852,
gastroenterologist,n. 胃肠病学家\n[医] 胃肠病学家,0,23436,s:gastroenterologists
gastrointestinal,"a. 胃肠的, 肠胃的",9,7129,
gastronomic,"a. 美食(烹饪)法的, 烹任学的",0,18887,
gastronomy,n. 美食法,8,23561,
gate,n.大门；篱笆门,2,2155,s:gates/p:gated/i:gating/3:gates/d:gated
gated,a. 有关卡的; 带栅门的,9,16920,1:pd/0:gate/d:gated/p:gated
gatehouse,"n. 警卫室, 门房",0,26551,s:gatehouses
gatekeeper,n. 看门人,9,26552,s:gatekeepers
gateway,"n. 门, 通路 [计] 网关",9,26553,s:gateways
gather,vi.聚集；集合 vt.收集,3,3848,d:gathered/p:gathered/i:gathering/3:gathers
gathered,v. （使）聚集（ gather的过去式和过去分词 ）; 集合; 推断; 了解,9,2669,0:gather/1:dp/p:gathered/d:gathered
gatherer,"n. 采集者, 收集器",0,18374,s:gatherers
gathering,"n. 聚集, 集中, 采集\n[化] 富集",9,3229,0:gather/1:i/s:gatherings/i:gathering
gator,n. 短吻鳄,9,26554,s:gators
gauche,"a. 笨拙的,粗鲁的,无礼的",7,16605,
gaucherie,n. 笨拙,8,23832,
Gaucho,n. 加骄牧人,0,23042,s:gauchos
gaudy,a. 俗丽的,8,12934,s:gaudies/t:gaudiest/r:gaudier
gauge,vt.量，测量 n.量器,4,5207,s:gauges/d:gauged/i:gauging/p:gauged/3:gauges
gaunt,a. 憔悴的，瘦削的,8,8836,r:gaunter
gauntlet,"n. 铁手套, 长手套, 夹击",9,13369,s:gauntlets
Gaussian,[计] 高斯,0,25175,s:gaussians
gauze,"n. 薄纱, 纱布, 金属网",9,14923,s:gauzes
gauzy,"a. 纱似的, 薄的",0,26555,
gavel,n. （法官所用的）槌，小木槌,8,21745,s:gavels
gawk,"n. 笨人, 呆子, 笨拙的人 vi. 痴呆着看",9,24261,i:gawking/d:gawked/p:gawked/3:gawks
gawky,a. 迟钝的，笨拙的,8,21746,r:gawkier
gay,a.快乐的；鲜明的,3,3309,s:gays
gaze,vi.凝视，盯，注视,4,2955,p:gazed/i:gazing/3:gazes/d:gazed/s:gazes
gazebo,"n. 眺望台, 阳台",9,19274,s:gazebos
gazelle,n. 瞪羚,0,16008,s:gazelles
gazetteer,n. 地名词典，地名表,8,22198,s:gazetteers
gazpacho,n. gazpachos 西班牙凉菜汤,0,23833,
GDP,[化] 鸟苷二磷酸,9,25171,s:gdps
gear,n. 1. 齿轮 2. 一套用具,5,3283,d:geared/s:gears/p:geared/i:gearing/3:gears
gearbox,n. 变速箱\n[化] 齿轮箱; 变速箱,0,26556,s:gearboxes
gearing,"n. 传动装置\n[经] 比例结合, 齿轮作用",0,9321,0:gear/1:i/i:gearing
gecko,n. 壁虎\n[医] 蛤蚧,0,23697,s:geckos
gee,"interj. 向右, 前进, 哎呀(惊讶时所发声音) v. (使)向右转",9,26557,t:geest/i:geeing/p:geed/3:gees/d:geed
geek,"n. 反常的人; 畸形人; （俚）极客, 即智力超群, 善于钻研但不懂与人交往的怪才",9,22446,s:geeks
geeky,a. <俚>令人讨厌的,0,24728,
gees,n. （美俚）一千元（gee的复数形式）\nv. 驭马快走或向右（gee的第三人称单数形式）,0,26558,1:3/0:gee
geezer,"n. 怪人, 古怪老头",0,14924,s:geezers
geisha,n. 艺妓,0,22710,s:geishas
gel,"n. 胶化体, 凝胶 vi. 胶化, 成凝胶状",9,5855,s:gels/i:gelling/p:gelled/3:gels/d:gelled/f:gels
gelatin,"n. 明胶, 凝胶体, 动物胶, 果子冻, 彩色透明滤光板",9,21856,
gelatinous,a. 凝胶状的\n[医] 胶状的,0,22844,
gelato,n. （意大利语）冰淇淋,0,24729,
gelding,"n. 阉割的动物, 太监, 去势的人, 去势的雄马",0,14250,1:i/0:geld/s:geldings
gem,"n. 珠宝, 宝石, 珍贵之物\nvt. 饰以宝石",9,9171,s:gems
gemstone,n. 经雕琢的宝石,7,26559,s:gemstones
gen,"n. 消息, 真相, 情报\n[医] 基因, 遗传因子",0,2952,s:gens/d:genned/i:genning
gendarme,"n. 宪兵, 警官",0,19781,s:gendarmes
gender,n. 性\nvt. 产生,6,3114,s:genders/d:gendered/p:gendered
gendered,a. 依照性别而分类的,9,17187,0:gender/1:dp/p:gendered
gene,n. 基因\n[化] 基因(遗传因子),6,2900,s:genes
genealogical,"a. 宗谱的, 家系的, 系谱的",0,17111,
genealogist,"n. 系谱学者, 系谱专家",6,22447,s:genealogists
genealogy,n. 家谱学,8,16265,s:genealogies
general,a.总的；一般的 n.将军,2,201,s:generals/f:generals
generalise,"vt.vi. (使)一般化, 从...引出一般性结论, 泛论, 概括出, 归纳出, 使广义化",6,14548,i:generalising/d:generalised/3:generalises/p:generalised
generalist,"n. 多面手, 通才",0,14494,s:generalists
generality,n. 概述,8,9726,s:generalities
generalizability,n. 普遍性,9,26560,
generalization,"n. 一般化, 普遍化, 概括",9,10034,s:generalizations
generalize,v. 1. 一般化，概括，推广 2. 形成概念，笼统讲,5,13650,i:generalizing/d:generalized/3:generalizes/p:generalized
generalized,"a. 广义的, 普遍的; 无显著特点的",9,8873,0:generalize/d:generalized/p:generalized/i:generalizing/3:generalizes
generally,ad.一般地；通常地,4,752,
generate,vt.发生；引起；生殖,4,3214,d:generated/3:generates/p:generated/i:generating
generated,a. 生成的；发生的,0,2652,0:generate/1:dp/p:generated/d:generated
generating,"a. 产生的, 生成的",9,4766,0:generate/1:i/i:generating
generation,n.一代(人)；产生,2,1601,s:generations
generational,"a. 生殖的, 世代的, 代与代之间的, 一代的, 生育的",9,15619,
generative,"a. 生殖的, 生产的, 有生殖力的\n[医] 生殖的, 发生的",0,13266,
generator,n.发电机；发生者,4,7710,s:generators
generic,a. 种类的，类属的,8,6495,s:generics
generically,"adv. 关于属类, 属类地, 属类上",0,19364,
generosity,"n. 慷慨, 宽大",9,6603,s:generosities
generous,a.慷慨的；宽厚的,2,2901,
generously,adv. 宽大地；慷慨地；丰盛地,9,7761,
genesis,"n. 发生, 起源, 创世记\n[医] 生殖, 发生",9,6684,
genetic,adj. 遗传(学)的,5,3374,
genetically,"adv. 创始, 遗传学, 生殖, 基因, 遗传, 发生",9,8530,
geneticist,n. 遗传学家,9,19782,s:geneticists
genetics,n. 遗传学\n[化] 遗传学,9,9495,
genial,"a. 和蔼的,亲切的,友善的",7,12829,
genie,"n. 妖怪, 鬼",9,17765,
genital,"a. 生殖的, 生殖器的",9,10986,s:genitals
genitalia,"n. 生殖器, 外阴部\n[医] 生殖器",0,16606,
genitals,"n. 生殖器, 外阴部",9,14446,0:genital/1:s
genius,n.天才，天赋，天资,4,4825,s:geniuses
genocidal,a. 种族灭绝的,9,21624,
genocide,"n. 种族灭绝, 灭绝整个种族的大屠杀",9,14034,p:genocided/s:genocides
genome,n. （生）基因组，染色体组,8,11603,s:genomes
genomic, 染色体组的,0,13093,
genomics, 基因组学,0,26561,
genotype,"n. 基因型, 遗传型\n[医] 遗传型, 基因型",0,16463,s:genotypes/d:genotyped
genre,"n. 类型, 流派",6,6553,s:genres
gent,n. 绅士,9,13996,s:gents
gentamicin,n. 庆大霉素\n[化] 庆大霉素,0,23314,
genteel,"a. 有教养的,上流的,优雅的",7,12504,
gentility,"(U) 假充上流,假装文雅;  假派头",7,17841,
gentle,a.和蔼的；轻柔的,3,2577,p:gentled/i:gentling/d:gentled/3:gentles
gentleman,n.绅士；有教养的人,3,1606,s:gentlemen
gentlemanly,"a. 绅士的, 绅士派头的",0,15575,
gentleness,"n. 温顺, 柔和, 亲切",9,11528,
gently,ad.有礼貌地；柔和地,4,2055,
gentrification,n. 中产阶级化,0,20190,s:gentrifications
gentry,n. 贵族们,7,6186,
genuflect,v. 曲膝半跪（以示敬意）；屈从,8,23834,p:genuflected/i:genuflecting/3:genuflects/d:genuflected
genuine,a.真的；真正的,4,2293,
genuinely,adv. 真诚地; 诚实地,9,4078,
genus,n. （动植物的）属,8,8476,s:genera
geode,"n. 空心石核, 晶洞, 晶洞状物\n[医] 淋巴腔",0,24404,
geodesic,"a. 测地学的, 测量的, 测地线的\nn. 测地线",0,15336,s:geodesics
geographer,n. 地理学者,9,17042,s:geographers
geographic,"a. 地理(学)的, 地区(性)的",9,9590,
geographical,"a. 地理学的, 地理的",9,3682,
geographically,[计] 自通地,9,8874,
geography,n.地理，地理学,2,3668,s:geographies
geologic,"a. 地质的, 地质学的",9,26562,
geological,"a. 地质学的, 地质的",9,4990,
geologically,adv. 从地质上来说,0,19065,
geologist,"n. 地质学家, 地质学者",9,12643,s:geologists
geology,n. 地质学,5,5978,s:geologies
geometric,"a. 几何学的, 几何学上的, 几何学图形的",9,6702,s:geometrics
geometrical,"a. 几何学的, 几何的\n[机] 几何学的",0,11830,
geometrically,"adv. 用几何学, 几何学上",0,19674,
geometrician,n. 几何学家,8,26563,s:geometricians
geometry,n.几何，几何学,2,7645,s:geometries
geophysical,a. 地球物理学的,0,12274,
geophysicist,n. 地球物理学者,0,22576,s:geophysicists
geopolitical,[计] 地理的,9,21857,
geopolitics,n. 地缘政治学,0,24405,0:geopolitic/1:s
Georgian,"n. 乔治亚州人, 乔治亚人 a. 乔治王时代的, 乔治王时代艺术风格的, 乔治亚的",9,25176,s:georgians
geostrategic,a. 地缘政治学的,0,24928,
geothermal,"a. 地温的, 地热的",9,13601,
geranium,"n. 老鹳草属植物, 天竺葵",9,15225,s:geraniums
gerbil,[医] 沙土鼠(南非传播鼠疫的啮齿动物),0,22090,s:gerbils
geriatric,"a. 老年病学的, 衰老的, 老年的",9,11578,s:geriatrics
germ,n.微生物，细菌，幼芽,4,11861,s:germs/3:germs
German,a.德国的 n.德国人,2,25177,s:germans
germane,a. 有密切关系的；贴切的,8,19970,
Germanic,"a. 德国的, 日耳曼语的, 日耳曼人的\nn. 日耳曼语",0,25178,
Germany,n.德意志，德国,2,25179,
germicide,n. 杀菌剂,8,24730,
germinate,"vi. 发芽,萌芽,开始发育 vt. 使发芽,使发达",7,16921,d:germinated/p:germinated/i:germinating/3:germinates
germination,"n. 发芽, 萌芽, 发育\n[医] 出芽, 生芽, 发芽",0,16857,
germplasm,"种质, 胚质",0,26564,
gerontocracy,n. 老人统治的政府,8,23985,
gerontologist,[医] 老年病学家,0,24731,s:gerontologists
gerontology,n. 老人病学,8,22327,
gerrymander,v. （为使某政党在选举中取得优势）不公正地将（某地区）划成选区,8,24561,i:gerrymandering/d:gerrymandered/p:gerrymandered/3:gerrymanders
gesso,"n. (绘画等用的)底料, 石膏粉",0,21065,
gestalt,"n. [心]完全形态, 完形",0,19365,s:gestalts
gestate,v. 怀孕，孕育,8,24562,i:gestating/p:gestated/s:gestates/3:gestates/d:gestated
gestation,"n. 妊娠, 妊娠期, 孕育, 酝酿\n[医] 妊娠, [受]孕",9,11258,s:gestations
gestational,"[医] 妊娠的, 受[孕]的",0,16785,
gesticulate,v. 做手势表达,8,23698,i:gesticulating/p:gesticulated/3:gesticulates/d:gesticulated
gestural,"a. 用手势的, 通过手势的",0,19568,
gesture,n.姿势，手势；姿态,3,3285,s:gestures/p:gestured/i:gesturing/3:gestures/d:gestured
get,vi.变得，成为；到达,1,93,d:got/p:got/i:getting/3:gets
getaway,"n. 逃走, 起步",9,26565,s:getaways
geyser,n. 天然热喷泉,8,20625,s:geysers/p:geysered/f:geysers
Ghanaian,n. 加纳人\na. 加纳(人)的,0,25180,s:ghanaians
ghastly,a. 可怕的，惊人的，惨白的,8,8201,t:ghastliest
ghetto,n. 犹太人区,9,10672,s:ghettos
ghost,n.鬼，灵魂；鬼魂,4,4079,s:ghosts/p:ghosted/i:ghosting/3:ghosts/d:ghosted
ghostlike,a. 象鬼样的,0,24563,
ghostly,"a. 幽灵的, 影子似的, 精神的",9,10456,r:ghostlier
ghoul,"n. 食尸鬼, 饿鬼, 盗墓者",0,21397,s:ghouls
ghoulish,"a. 食尸鬼似的, 残忍的",0,19569,
gi,a. 军用的；美国军人的,9,26566,0:gi/s:gis
giant,n.巨人；巨物,4,2568,s:giants
Giardia,[医] 贾第虫属,0,18851,
gibberish,"n. 快而不清的语, 胡扯",0,19783,
gibbous,"a. 凸圆的, 凸状的, 驼背的\n[医] 驼背的",0,24262,
gibe,vt. vi. 嘲笑 n. 嘲笑,7,22577,s:gibes/p:gibed/i:gibing/3:gibes/d:gibed
giblet,"[常用复](禽类的)内脏杂碎, 横隔膜肌肉部分",0,24732,s:giblets
giddily,"adv. 眼花地, 头晕地, 轻率地",0,23835,
giddiness,"n. 眼花, 轻率\n[医] 眩晕, 头晕",0,22091,
giddy,a. 轻浮的，不严肃的,8,14925,r:giddier
gift,n.礼物，赠品；天赋,2,2470,s:gifts/p:gifted/d:gifted/i:gifting/3:gifts
gifted,a. 有天才的,3,7279,0:gift/1:pd/d:gifted/p:gifted
giftedness," 假资优, 天才, 资赋优异",9,24406,
gig,"n. 旋转物, 轻便双轮马车, 赛艇, 鱼叉, 记过, 爵士乐演奏会 vi. 乘轻便双轮马车, 乘快艇, (用鱼叉)叉鱼 vt. (用鱼叉)叉, 刺激, 记过",9,6717,s:gigs/p:gigged/i:gigging/d:gigged
gigabyte,n. 吉字节\n[计] 千兆字节,0,24407,s:gigabytes
gigantic,adj. 巨大的，似巨人的,5,8202,
giggle,v. 吃吃地笑，咯咯地笑，傻笑,5,10280,p:giggled/i:giggling/s:giggles/3:giggles/d:giggled
gild,"vt. 镀金,虚饰,装饰,使有钱",7,22578,i:gilding/p:gilded/d:gilded/s:gilds/3:gilds
gilded,"a. 镀金的, 有钱的, 装饰的",9,9885,0:gild/d:gilded/p:gilded
gill,"n. 鳃, 菌褶, 沟壑, 少女 vt. 用刺网捕, 去除内脏 vi. 被刺网捕住",9,26567,s:gills/i:gilling
gilt,"n. 镀金, 眩目的外表, 小母猪",9,6890,1:pd/0:gild/s:gilts
gimmick,n. 吸引人的花招，噱头,8,15171,s:gimmicks/3:gimmicks/d:gimmicked
gin,"n. 杜松子酒, 轧棉机, 陷阱\nvt. 轧棉, 用陷阱捕",9,6703,s:gins/d:ginned/p:ginned/i:ginning/3:gins
ginger,n. 姜；活力,8,6285,s:gingers/d:gingered/i:gingering/p:gingered/3:gingers
gingerbread,"n. 姜饼, 俗艳的装饰 a. 俗艳的, 华而不实的",9,26568,s:gingerbreads
gingerly,adj./adv. 小心的（地）；谨慎的（地）,8,11402,
gingham,"n. 条纹(或方格纹)棉布, 伞",0,20289,s:ginghams
Ginkgo,[化] 银杏属,0,24073,s:ginkgos
ginseng,"n. 人参, 西洋参\n[化] 人参",0,19675,
giraffe,"n. 长颈鹿, 鹿豹座",3,16979,s:giraffes
gird,"n. 嘲笑\nvt. 用带束, 佩带, 围绕, 嘲笑\nvi. 准备, 嘲笑",0,22845,i:girding/p:girded/3:girds/d:girded
girder,n. 主梁,7,17926,s:girders
girdle,"n. 腰带,围绕物 vt. 以腰带束缚,围绕",7,14803,s:girdles/p:girdled/d:girdled/i:girdling/3:girdles
girl,n.女孩子，姑娘；女儿,1,586,s:girls
girlfriend,n. 女朋友,9,26569,s:girlfriends
girlhood,"n. 少女时代, 少女们",0,21625,
girlie,n. 少女,0,17624,
girlish,"a. 少女的, 少女似的, 适于女子的",9,16532,
girly,a. 像少女的,0,21973,s:girlies
girth,n. （人）腰身；周长,8,16266,s:girths/d:girthed/i:girthing/p:girthed/3:girths
gist,"n. 要点,要旨,依据",7,12735,
git,n. [俚]饭桶,9,11685,s:gits
give,vt.做，作；送给,1,186,d:given/p:gave/i:giving/3:gives
giveaway,"n. 泄漏, 免费赠品",9,26570,s:giveaways
given,prep. 考虑到 adj. 特定的，规定的,5,197,0:give/1:d/d:given/s:givens
giver,"n. 给予者, 赠予人",9,15226,s:givers
giving,"n. 礼物, 给予物",9,682,0:give/1:i/i:giving/s:givings
gizmo,"n. 小发明, 小玩意儿",9,23562,s:gizmos
glacial,a. 冰期的; 冰河时代的,7,8898,s:glacials
glacier,n. 冰川,6,10673,s:glaciers
glad,a.高兴的；乐意的,2,2060,r:gladder
gladden,vt. 使喜悦\nvi. 喜悦,0,23437,3:gladdens/d:gladdened/p:gladdened/i:gladdening
glade,n. 林中的空地,8,16533,s:glades
gladiator,n. （古罗马）角斗士，与野兽搏斗者,8,20413,s:gladiators
gladly,"adv. 高兴地, 乐意地, 欢喜地",9,9747,
gladness,"n. 欢乐, 欢喜, 喜悦",0,20513,s:gladnesses
glam,"a. 迷人的, 富有魅力的",0,17188,p:glammed/s:glams
glamor,"n. 魅力, 迷人的美, 魔法\nvt. 迷惑",6,26571,
glamorize,"vt. 使有迷惑力/魅力, 美化",0,24408,p:glamorized/3:glamorizes/d:glamorized/i:glamorizing
glamorous,"a. 富有魅力的, 迷人的",9,6842,
glamour,n. 魅力，迷人的美，魔法 v. 迷惑,5,7422,s:glamours/f:glamours
glance,vi.看一下 n.一瞥,3,2791,p:glanced/i:glancing/s:glances/3:glances/d:glanced
glancing,"a. 斜的, 附带的, 随便的",0,6332,0:glance/1:i/i:glancing
gland,n. 腺,5,10202,s:glands
glare,vi.瞪眼 n.瞪眼,3,6955,p:glared/i:glaring/3:glares/s:glares/d:glared
glaring,"a. 闪耀的,炫目的,瞪视的",7,8564,0:glare/1:i/i:glaring
glaringly,"adv. 显而易见地; 耀目地, 显目地",0,20191,
glasnost,n. 公开性; 公开化,9,13651,
glass,n.玻璃；玻璃杯,2,875,s:glasses/i:glassing/p:glassed/3:glasses/d:glassed
glasshouse,"n. 温室, 玻璃工场, 禁闭房",3,26572,s:glasshouses
glassware,n. 玻璃器皿; 玻璃仪器,9,26573,
glassy,"a. 玻璃质的, 玻璃状的, 如镜的",9,11780,t:glassiest/r:glassier
glaucoma,"n. 绿内障, 青光眼\n[医] 青光眼(绿内障)",9,21285,
glaze,"n. 釉,上光,光滑面 vt. 装以玻璃,上釉于 vi. 变成为光滑,变呆滞",7,12598,d:glazed/s:glazes/i:glazing/p:glazed/3:glazes
glazed,a. 像玻璃的; 光滑的; 上过釉的; 呆滞无神的,9,6970,0:glaze/1:dp/d:glazed
glazing,"n. 玻璃装配业, 玻璃窗, 上光, 上釉\n[机] 起釉, 变滑",0,7738,0:glaze/1:i/i:glazing
gleam,n. 1. 微光，闪光，一线光明 2. (希望、机智等的)闪现 v. 闪烁，隐约闪光,5,8899,p:gleamed/i:gleaming/3:gleams/s:gleams/d:gleamed
gleaming,"a. 闪闪发光的 v. （使）闪烁, （使）闪亮( gleam的现在分词 )",9,6545,0:gleam/1:i/i:gleaming
glean,"vt. vi. 拾落穗,收集",7,17266,d:gleaned/p:gleaned/i:gleaning/3:gleans
glee,n. 欢喜，高兴,8,12736,s:glees
gleeful,a. 愉快的,7,18967,
gleefully,adv. 高兴地,9,14660,
glen,"n. 峡谷, 幽谷",0,5076,s:glens
glib,a. （演说）流利圆滑的，善辩的,8,17557,
glide,vi.滑动；消逝 n.滑行,4,11160,i:gliding/p:glided/3:glides/s:glides/d:glided
glider,"n. 滑翔员, 滑翔机",9,7652,s:gliders
gliding,"a. 游动的, 滑顺的, 滑行的",0,9248,0:glide/1:i/i:gliding
glimmer,v. 发微光；n. 摇曳的微光,8,11631,p:glimmered/i:glimmering/s:glimmers/3:glimmers/d:glimmered
glimpse,vt.瞥见 n.一瞥，一看,4,4978,s:glimpses/p:glimpsed/d:glimpsed/i:glimpsing/3:glimpses
glint,"n. 闪光, 一闪 vi. 闪耀, 闪闪发光, 反射, 迅速移动 vt. 使发光, 使闪光",9,11529,p:glinted/i:glinting/s:glints/3:glints/d:glinted
